Altium Designer Pick and Place Locations
\..\PCBA_Rev4\Project_Outputs\Pick Place\A09-3372-R4.csv

========================================================================================================================
File Design Information:

Date:       07-05-24
Time:       13:50
Revision:   a10ef434e263f5b6fc9c4569f80545d1d2230f1e
Variant:    Default Assembly
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R205","","TopLayer","AP2-00108","13.9790","12.7500","270","Thick film resistor, SMD 0402, 1/16W, 1%"
"R202","","TopLayer","AP2-00108","21.0000","7.7750","0","Thick film resistor, SMD 0402, 1/16W, 1%"
"R207","","TopLayer","AP2-00108","19.5050","7.0794","90","Thick film resistor, SMD 0402, 1/16W, 1%"
"R215","","TopLayer","AP2-00108","13.4300","4.5750","0","Thick film resistor, SMD 0402, 1/16W, 1%"
"R212","","TopLayer","AP2-00108","19.0800","8.9740","90","Thick film resistor, SMD 0402, 1/16W, 1%"
"R200","","TopLayer","AP2-00108","14.9290","12.7500","270","Thick film resistor, SMD 0402, 1/16W, 1%"
"R209","","TopLayer","AP2-00108","11.7150","13.7750","0","Thick film resistor, SMD 0402, 1/16W, 1%"
"R203","","TopLayer","AP2-00108","12.1748","10.1941","90","Thick film resistor, SMD 0402, 1/16W, 1%"
"R218","","TopLayer","AP2-00108","9.2985","4.5750","180","Thick film resistor, SMD 0402, 1/16W, 1%"
"R210","","TopLayer","AP2-00108","11.7150","11.6840","180","Thick film resistor, SMD 0402, 1/16W, 1%"
"C201","","TopLayer","AP1-00148","18.8800","15.7250","0","Ceramic capacitor, SMD 0402, X7R, 16V, +/-10%"
"C100","","TopLayer","AP1-00148","45.2500","6.7500","0","Ceramic capacitor, SMD 0402, X7R, 16V, +/-10%"
"C101","","TopLayer","AP1-00148","47.3260","15.0430","45","Ceramic capacitor, SMD 0402, X7R, 16V, +/-10%"
"C102","","TopLayer","AP1-00148","56.5430","12.4720","135","Ceramic capacitor, SMD 0402, X7R, 16V, +/-10%"
"C103","","TopLayer","AP1-00148","26.1620","14.5542","90","CAP CER 2.2UF 10V 10% X5R 0402"
"D100","","TopLayer","AP4-00169","74.1680","10.1600","270","LED, SMD 0603, Yellow, Wave length=590nm, 100mcd @ (20mA, 2.2Vf) rohm"
"R201","","TopLayer","AP2-00108","18.5800","14.2750","90","Thick film resistor, SMD 0402, 1/16W, 1%"
"R204","","TopLayer","AP2-00108","16.9050","15.7250","0","Thick film resistor, SMD 0402, 1/16W, 1%"
"R206","","TopLayer","AP2-00108","19.4800","14.2750","90","Thick film resistor, SMD 0402, 1/16W, 1%"
"R208","","TopLayer","AP2-00108","20.9920","15.7250","0","Thick film resistor, SMD 0402, 1/16W, 1%"
"R103","","TopLayer","AP2-00108","76.4540","10.1600","90","Thick film resistor, SMD 0402, 1/16W, 1%"
"R104","","TopLayer","AP2-00108","75.3110","10.1600","90","Thick film resistor, SMD 0402, 1/16W, 1%"
"U206","QFN32","TopLayer","AP6-00418","15.6700","8.1700","90","32-bit RISC MCU 32pin"
"J107","","BottomLayer","AP9-00172","39.7000","7.8000","180","1x1mm, Round Strap, Open, no frame"
"TP202","PCB implemented component.","BottomLayer","AP8-00870","12.4000","5.7770","180","SMD Test point - 0.8mm"
"TP203","PCB implemented component.","BottomLayer","AP8-00870","12.4000","7.0000","180","SMD Test point - 0.8mm"
"TP200","PCB implemented component.","BottomLayer","AP8-01250","2.5400","17.7800","90","TH Test point - D3.6H2.7"
"TP201","PCB implemented component.","BottomLayer","AP8-01250","2.5400","2.5400","90","TH Test point - D3.6H2.7"
"SW100","Rating: DC 12V 50mA
Max 0.1 ohm contact resistance","TopLayer","AP8-00137","80.3910","10.1600","270","SWITCH, SMD, 260gf, 6.4mm X 6.2mm"
"LABEL1","","BottomLayer","AP8-00317","-453.6700","-415.5700","180","PCBA identification label PP Top White Gloss"
"R102","","TopLayer","AP2-00108","42.3250","9.2440","180","Thick film resistor, SMD 0402, 1/16W, 1%"
"R100","","TopLayer","AP2-00108","58.1500","12.2250","270","RES 0.0 OHM 1/16W 0402 SMD"
